FB26D363-431A-307E-800A-1B6185AB8546
Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"21,900",
SURVEY,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"6,500",
SURVEY,2021,YEAR,,STATE,INDIANA,18,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"9,100",
SURVEY,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"26,800",
SURVEY,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"3,100",
SURVEY,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"1,200",
SURVEY,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"20,900",
SURVEY,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"17,100",
SURVEY,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"15,500",
SURVEY,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"20,500",
SURVEY,2021,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"17,300",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"22,500",
SURVEY,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,PUMPKINS,"PUMPKINS, NOT SOLD - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"12,400",
