9AD90FFC-1589-38E3-8951-4E510A3FCA62
Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"26,584,000",
SURVEY,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,973,000",
SURVEY,2021,YEAR,,STATE,INDIANA,18,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"26,517,000",
SURVEY,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,027,000",
SURVEY,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,390,000",
SURVEY,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,336,000",
SURVEY,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"14,443,000",
SURVEY,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"14,218,000",
SURVEY,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,239,000",
SURVEY,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"26,488,000",
SURVEY,2021,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"14,816,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,938,000",
SURVEY,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,PUMPKINS,"PUMPKINS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,087,000",
