Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,500",
SURVEY,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"15,900",
SURVEY,2021,YEAR,,STATE,INDIANA,18,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"7,400",
SURVEY,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,100",
SURVEY,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,100",
SURVEY,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,700",
SURVEY,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,800",
SURVEY,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,000",
SURVEY,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"6,800",
SURVEY,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,500",
SURVEY,2021,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,700",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,700",
SURVEY,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"2,400",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"3,600",
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"15,700",
SURVEY,2020,YEAR,,STATE,INDIANA,18,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"6,000",
SURVEY,2020,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,PUMPKINS,PUMPKINS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,400",
